Compound Name	Chemical Formula	SMILES	Names	Object ID	InChI-Key
(+)-6a-hydroxymaackiain	C16H12O6	C2([C@@]1(C4(C(/O[C@@H]1C3(\C(\O2)=C/C(/O)=C\C=3))=C\C5(\OCOC(/C=4)=5)))(O))	(+)-6a-hydroxymaackiain // 3,6a-dihydroxy-8,9-methylenedioxypterocarpan // DMDP	CPD-3942	InChIKey=GLMPLZUBQDAZEN-CVEARBPZSA-N
(+)-7-<i>epi</i>-12-hydroxy-12-oxojasmonoyl-L-isoleucine	C18H25N1O6	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC([O-])=O)1))C([O-])=O	(+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-isoleucine // (3R, 7S)-12COOH-JA-Ile // (3R, 7S)-12-hydroxy-12-oxojasmonoyl-isoleucine // (3R, 7S)-12-hydroxy-12-oxojasmonoyl-L-isoleucine // (+)-7-iso-12-hydroxy-12-oxojasmonoyl-L-isoleucine	CPD-19812	InChIKey=JGWHHQHWBOQVJU-SIEWLTCVSA-L
(+)-7-<i>epi</i>-12-hydroxy-12-oxojasmonoyl-L-phenylalanine	C21H23N1O6	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)	(+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-phenylalanine // (+)-7-iso-12COOH-JA-Phe // (+)-7-iso-12-hydroxy-12-oxojasmonoyl-L-phenylalanine	CPD-19820	InChIKey=SOQZLZUNCQKWIW-JTWDDWRCSA-L
(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine	C18H28N1O5	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CCO)1))C([O-])=O	(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine // (3R,7S)-12-OH-JA-Ile // (3R,7S)-12-hydroxyjasmonoyl-isoleucine // (3R,7S)-12-hydroxyjasmonoyl-L-isoleucine // (+)-7-iso-12-hydroxyjasmonoyl-L-isoleucine	CPD-13420	InChIKey=TXHIPUZLOILIIU-RAJZRIHCSA-M
(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-phenylalanine	C21H26N1O5	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)	(+)-7-epi-12-hydroxyjasmonoyl-L-phenylalanine // (+)-7-iso-12OH-JA-Phe // (+)-7-iso-12-hydroxyjasmonoyl-L-phenylalanine	CPD-19818	InChIKey=VDKUVTCFUXVZCC-QLAVEODCSA-M
(+)-7-<i>epi</i>-12-oxojasmonoyl-L-isoleucine	C18H26N1O5	CC[C@H](C)[C@H](NC(=O)C[C@H]1(CCC(=O)[C@@H](C\C=C/CC=O)1))C([O-])=O	(+)-7-epi-12-oxojasmonoyl-L-isoleucine // (3R, 7S)-12CHO-JA-Ile // (3R, 7S)-12-oxojasmonoyl-isoleucine // (3R, 7S)-12-oxojasmonoyl-L-isoleucine // (+)-7-iso-12-oxojasmonoyl-L-isoleucine	CPD-19811	InChIKey=BLZRWMJJRGXFHK-RAJZRIHCSA-M
(+)-7-<i>epi</i>-12-oxojasmonoyl-L-phenylalanine	C21H24N1O5	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)	(+)-7-epi-12-oxojasmonoyl-L-phenylalanine // (+)-7-iso-12CHO-JA-Phe // (+)-7-iso-12-oxojasmonoyl-L-phenylalanine	CPD-19819	InChIKey=FPGMVYIZWKAKJH-QLAVEODCSA-M
(+)-7-<i>epi</i>-jasmonate	C12H17O3	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC([O-])=O)	(+)-7-epi-jasmonate // (+)-7-iso-jasmonic acid // iso-jasmonic acid // (3R,7S)-(+)-7-iso-jasmonate // (+)-7-iso-jasmonate	CPD-731	InChIKey=ZNJFBWYDHIGLCU-QKMQQOOLSA-M
(+)-7-<i>epi</i>-jasmonoyl-CoA	C33H48N7O18P3S1	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)	(+)-7-epi-jasmonoyl-CoA // (+)-7-iso-jasmonoyl-CoA	CPD-11529	InChIKey=WQKKCPPNDKSAIU-CBGYDUJUSA-J
(+)-7-<i>epi</i>-jasmonoyl-L-alanine	C15H22N1O4	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)	(+)-7-epi-jasmonoyl-L-alanine // (+)-7-iso-JA-L-Ala // (+)-7-iso-jasmonate-L-alanine // (+)-7-iso-jasmonic acid-L-alanine // (+)-7-iso-jasmonic acid-L-alanine conjugate // (+)-7-iso-jasmonyl-L-alanine // (3R,7S)-JA-L-Ala // (+)-7-iso-jasmonoyl-L-alanine	CPD-19806	InChIKey=GQOBLZKNJFFBSM-LNDCSFGSSA-M
(+)-7-<i>epi</i>-jasmonoyl-L-isoleucine	C18H28N1O4	CC\C=C/C[C@@H]1(C(=O)CC[C@@H]1CC(N[C@@H]([C@@H](C)CC)C([O-])=O)=O)	(+)-7-epi-jasmonoyl-L-isoleucine // (+)-7-iso-JA-L-Ile // (+)-7-iso-jasmonate-L-isoleucine // (+)-7-iso-jasmonic acid-L-isoleucine // (+)-7-iso-jasmonic acid-L-isoleucine conjugate // (+)-7-iso-jasmonyl-L-isoleucine // N-[(3R,7S)-(+)-7-iso-Jasmonoyl]-(S)-isoleucine // (3R,7S)-JA-L-Ile // (+)-7-iso-jasmonoyl-L-isoleucine	CPD-11259	InChIKey=IBZYPBGPOGJMBF-QPERPISQSA-M
(+)-7-<i>epi</i>-jasmonoyl-L-phenylalanine	C21H26N1O4	CC\C=C/CC1(C(=O)CCC1CC(N[C@@H]([R])C([O-])=O)=O)	(+)-7-epi-jasmonoyl-L-phenylalanine // (+)-7-iso-phenylalanine L-jasmonate conjugate // (+)-7-iso-JA-L-Phe // (+)-7-iso-jasmonate-L-phenylalanine // (+)-7-iso-jasmonic acid L-phenylalanine // (+)-7-iso-jasmonic acid L-phenylalanine conjugate // (+)-7-iso-jasmonyl-L-phenylalanine // (+)-7-iso-jasmonoyl-L-phenylalanine	CPD-19817	InChIKey=BYYWRCJZFSTRMQ-JNPKKTEJSA-M
(+)-afzelechin	C15H14O5	C3(/C=C(\C=C/C(/[C@@H]1([C@@H](O)CC2(/C(/O1)=C\C(\O)=C/C(/O)=2)))=3)/O)	(+)-afzelechin // (2R,3S)-afzelechin	CPD-1962	InChIKey=RSYUFYQTACJFML-DZGCQCFKSA-N
(+)-&alpha;-amorphene	C15H24	CC(C)[C@@H]2([C@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))	(+)-alpha-amorphene // (1R,4aS,8aR)-4,7-dimethyl-1-(propan-2-yl)-1,2,4a,5,6,8a-hexahydronaphthalene // zizanene	CPD-20214	InChIKey=QMAYBMKBYCGXDH-KFWWJZLASA-N
(+)-&alpha;-barbatene	C15H24	CC1(\[C@H]3(C[C@@](C)(C\C=1)[C@]2(C)([C@@](C)(CCC2)3)))	(+)-alpha-barbatene	CPD-8235	InChIKey=RMKQBFUAKZOVPQ-APIJFGDWSA-N
(+)-&alpha;-bulgarene	C15H24	CC(C)[C@H]2([C@@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))	(+)-alpha-bulgarene	CPD-8799	InChIKey=QMAYBMKBYCGXDH-RRFJBIMHSA-N
(+)-&alpha;-cadinene	C15H24	CC(C)[C@H]2([C@H]1([C@@H](CCC(/C)=C/1)C(/C)=C/C2))	(+)-alpha-cadinene	CPD-8788	InChIKey=QMAYBMKBYCGXDH-KKUMJFAQSA-N
(+)-&alpha;-curcumene	C15H22	CC(C)=CCCC(C)C1(\C=C/C(\C)=C\C=1)	(+)-alpha-curcumene // (S)-(-)-alpha-curcumene // 4-[(1S)-1,5-dimethylhex-4-enyl]-1-methylbenzene	CPD-14201	InChIKey=VMYXUZSZMNBRCN-AWEZNQCLSA-N
(+)-&alpha;-muurolene	C15H24	CC(C)[C@H]2([C@H]1([C@H](CCC(/C)=C/1)C(/C)=C/C2))	(+)-alpha-muurolene	CPD-8798	InChIKey=QMAYBMKBYCGXDH-ZNMIVQPWSA-N
(+)-&alpha;-phellandrene	C10H16	CC(C)C1(C\C=C(C)/C=C\1)	(+)-alpha-phellandrene	CPD-18812	InChIKey=OGLDWXZKYODSOB-JTQLQIEISA-N
(+)-&alpha;-pinene	C10H16	CC1(\[C@H]2(C[C@@H](C\C=1)C2(C)C))	(+)-alpha-pinene // (1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene // (1R,5R)-alpha-pinene	CPD-8754	InChIKey=GRWFGVWFFZKLTI-RKDXNWHRSA-N
(+)-&alpha;-santalene	C15H24	CC(C)=CCCC1(C)(C2(CC3(C(C)1C(C2)3)))	(+)-alpha-santalene	CPD-11377	InChIKey=KWFJIXPIFLVMPM-UHFFFAOYSA-N
(+)-&alpha;-santalol	C15H24O1	CC(\CO)=C\CCC3(C1(CC2(C(C1)[C@](C)23)))C	(+)-alpha-santalol // alpha-santalol // (Z)-alpha-santalol // (cis)-alpha-santalol // D-alpha-santalol	CPD-13496	InChIKey=PDEQKAVEYSOLJX-NVFXPZDQSA-N
(+)-&alpha;-terpineol	C10H18O1	O[R]	(+)-alpha-terpineol // (+)-(4R)-alpha-terpineol // (R)-alpha-terpineol	CPD-14023	InChIKey=WUOACPNHFRMFPN-VIFPVBQESA-N
(+)-&alpha;-thujene	C10H16	CC(C)[C@]12([C@@H](C1)C(/C)=C/C2)	(+)-alpha-thujene // (1S,5R)-2-methyl-5-(propan-2-yl)bicyclo[3.1.0]hex-2-ene	CPD-4894	InChIKey=KQAZVFVOEIRWHN-UWVGGRQHSA-N
(+)-amorpha-4,11-diene	C15H24	C=C([C@H]1([C@H]2(\C=C(C)/CC[C@@H]([C@@H](CC1)C)2)))C	(+)-amorpha-4,11-diene // amorphadiene // amorpha-4,11-diene	CPD-7554	InChIKey=HMTAHNDPLDKYJT-CBBWQLFWSA-N
(+)-&beta;-amorphene	C15H24	CC(C)[C@H]2([C@@H]1([C@@H](C\C=C(C)/C1)C(/C)=C/C2))	(+)-beta-amorphene	CPD-8794	InChIKey=USDOQCCMRDNVAH-SOUVJXGZSA-N
(+)-&beta;-barbatene	C15H24	C=C1(CC[C@]3(C)(C[C@@H]1[C@@]2(C)([C@](C)(CCC2)3)))	(+)-beta-barbatene	CPD-8238	InChIKey=RTONMYLSQISFQA-APIJFGDWSA-N
(+)-&beta;-bulgarene	C15H24	CC(C)[C@H]2([C@@H]1([C@H](C\C=C(C)/C1)C(/C)=C/C2))	(+)-beta-bulgarene	CPD-8796	InChIKey=USDOQCCMRDNVAH-RRFJBIMHSA-N
(+)-&beta;-cadinene	C15H24	CC(C)[C@H]2([C@H]1([C@@H](C\C=C(C)/C1)C(/C)=C/C2))	(+)-beta-cadinene	CPD-8789	InChIKey=USDOQCCMRDNVAH-KKUMJFAQSA-N
(+)-&beta;-caryophyllene	C15H24	CC1(/CC[C@@H]2(C(C[C@@H](C(CC/C=1)=C)2)(C)C))	(+)-beta-caryophyllene	CPD-13785	InChIKey=NPNUFJAVOOONJE-IOMPXFEGSA-N
(+)-&beta;-chamigrene	C15H24	CC2(\CC[C@]1(C(CCCC1(C)C)=C)(C\C=2))	(+)-beta-chamigrene	CPD-8241	InChIKey=WLNGPDPILFYWKF-HNNXBMFYSA-N
(+)-&beta;-muurolene	C15H24	CC(C)[C@H]2([C@H]1([C@H](C\C=C(C)/C1)C(/C)=C/C2))	(+)-beta-muurolene	CPD-8795	InChIKey=USDOQCCMRDNVAH-ZNMIVQPWSA-N
(+)-&beta;-phellandrene	C10H16	CC(C1(CCC(\C=C/1)=C))C	(+)-beta-phellandrene	CPD-8769	InChIKey=LFJQCDVYDGGFCH-JTQLQIEISA-N
(+)-&beta;-pinene	C10H16	C=C1(CC[C@@H]2(C[C@H]1C2(C)C))	(+)-beta-pinene // (1R,5R)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane	CPD-8755	InChIKey=WTARULDDTDQWMU-RKDXNWHRSA-N
(+)-bisdechlorogeodin	C17H14O7	CC2(\C=C(C3(\C(=O)[C@]1(C(/OC)=C\C(=O)/C=C1/C(OC)=O)OC(/C=2)=3))\O)	(+)-bisdechlorogeodin // methyl (2S)-4-hydroxy-6-methyl-4'-oxo-3H-spiro[1-benzofuran-2,1'-cyclohexa[2,5]diene]-2'-carboxylate	CPD-1901	InChIKey=JCMPRFCVZKOFIT-KRWDZBQOSA-N
(+)-bornane-2,5-dione	C10H14O2	CC1(C)([C@@H]2(C(=O)C[C@@](C)1C(=O)C2))	(+)-bornane-2,5-dione // (1R)-bornane-2,5-dione // 2,5-dioxocamphane // bornane-2,5-dione // 1,7,7-trimethylbicyclo[2.2.1]heptane-2,5-dione // 2,5-diketocamphane // (1R,4R)-bornane-2,5-dione	CPD-864	InChIKey=UDIUFGIXIGLRSM-WKEGUHRASA-N
(+)-borneol	C10H18O1	O[R]	(+)-borneol // d-borneol // borneocamphor // endo-2-bornanol // sumatra camphor // (1R,2S,4R)-(+)-borneol	CPD-1903	InChIKey=DTGKSKDOIYIVQL-SHTILUHOSA-N
(+)-bornyl-diphosphate	C10H17O7P2	CC2(C1(C)(CCC(CC(OP(OP([O-])([O-])=O)([O-])=O)1)2))C	(+)-bornyl-diphosphate	+-bornyl-diphosphate	InChIKey=VZPAJODTZAAANV-UHFFFAOYSA-K
(+)-camphene	C10H16	C=C1(C(C)(C)[C@H]2(C[C@H]1CC2))	(+)-camphene // (1R,4S)-camphene	CPD-8767	InChIKey=CRPUJAZIXJMDBK-DTWKUNHWSA-N
(+)-camphor	C10H16O1	C([R1])C(C[R2])=O	(+)-camphor // (+)-bornan-2-one // (R)-camphor // (1R)-(+)-camphor // (R)-(+)-camphor // D-camphor // (1R,4R)-camphor	CPD-862	InChIKey=DSSYKIVIOFKYAU-XCBNKYQSSA-N
(+)-carvone	C10H14O1	C=C([C@@H]1(CC(C(/C)=C/C1)=O))C	(+)-carvone // S-(+)-carvone // (5S)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-one // (S)-(+)-p-mentha-6,8-dien-2-one // d-carvone // (S)-carvone // (4S)-carvone // (5S)-2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one	CPD-10037	InChIKey=ULDHMXUKGWMISQ-VIFPVBQESA-N
(+)-caryolan-1-ol	C15H26O1	CC1([C@H]2(CC[C@@]3(C[C@]([C@H](C1)2)(CCC3)O)C))C	(+)-caryolan-1-ol // (1S,2R,5S,8R)-4,4,8-trimethyltricyclo[6.3.1.02,5]dodecan-1-ol	CPD-13786	InChIKey=FUQAYSQLAOJBBC-MXYBEHONSA-N
(+)-catechin	C15H14O6	C3(/C=C(C(/O)=C\C(\[C@H]1(OC2(\C(/C[C@@H]1O)=C(/C=C(/C=2)/O)\O)))=3)/O)	(+)-catechin // cianidanol // 2,3-trans-catechin // (2R,3S)-catechin	CPD-1961	InChIKey=PFTAWBLQPZVEMU-DZGCQCFKSA-N
(+)-<i>cis,cis</i>-nepetalactol	C10H16O2	C[C@H]1(CC[C@@H]2([C@H]1C(O)O\C=C(C)/2))	(+)-cis,cis-nepetalactol // (4aR,7S,7aS)-4,7-dimethyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-ol	CPD-22361	InChIKey=OJGPEAXUHQRLNC-DJOKAMFZSA-N
(+)-<i>cis,cis</i>-nepetalactone	C10H14O2	C[C@H]1(CC[C@@H]2([C@H]1C(=O)O\C=C(C)/2))	(+)-cis,cis-nepetalactone	CPD-22360	InChIKey=ZDKZHVNKFOXMND-XVYDVKMFSA-N
(+)-<i>cis,trans</i>-nepetalactol	C10H16O2	C[C@H]1(CC[C@H]2([C@@H]1C(O)O\C=C(C)/2))	(+)-cis,trans-nepetalactol // (4aS,7S,7aR)-4,7-dimethyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-ol // (4aS,7S,7aR)-nepetalactol // (7S)-cis,trans-nepetalactol // iridodial lactol	CPD-15030	InChIKey=OJGPEAXUHQRLNC-CEPLBNANSA-N
(+)-<i>cis,trans</i>-nepetalactone	C10H14O2	C[C@H]1(CC[C@H]2([C@@H]1C(=O)O\C=C(C)/2))	(+)-cis,trans-nepetalactone	CPD-15029	InChIKey=ZDKZHVNKFOXMND-NBEYISGCSA-N
(+)-<i>cis</i>-3,4-dihydrophenanthrene-3,4-diol	C14H12O2	C1(\C=C/C3(/C(\C=1)=C\C=C2(\C=C/[C@H](O)[C@H](O)C/2=3)))	(+)-cis-3,4-dihydrophenanthrene-3,4-diol // cis-3,4-Dihydroxy-3,4-dihydrophenanthrene	CPD-13486	InChIKey=FOTICWSJABVKPW-JSGCOSHPSA-N
(+)-<i>cis</i>-abscisic aldehyde	C15H20O3	CC(\C=C\[C@@]1(C(C)(C)CC(=O)\C=C(C)/1)O)=C\C=O	(+)-cis-abscisic aldehyde // (+)-cis-ABA aldehyde // (+)-cis-abscisic acid aldehyde	CPD-692	InChIKey=RIKWDZWVHUIUAM-KICRZJJPSA-N
(+)-<i>cis</i>-isopulegone	C10H16O1	C=C([C@H]1(CC[C@H](CC1=O)C))C	(+)-cis-isopulegone	CPD-4941	InChIKey=RMIANEGNSBUGDJ-RKDXNWHRSA-N
(+)-cis-sabinol	C10H16O1	CC([C@@]12(C[C@@H](O)C([C@H]1C2)=C))C	(+)-cis-sabinol	-CIS-SABINOL	InChIKey=MDFQXBNVOAKNAY-BBBLOLIVSA-N
(+)-<i>cis</i>-verbenol	C10H16O1	O[R]	(+)-cis-verbenol	CPD-8832	InChIKey=WONIGEXYPVIKFS-YIZRAAEISA-N
(+)-columbianetin	C14H14O4	CC(C)(C1(CC3(/C(/O1)=C\C=C2(\C=C/C(OC/2=3)=O))))O	(+)-columbianetin	CPD-9799	InChIKey=YRAQEMCYCSSHJG-UHFFFAOYSA-N
(+)-copalol	C20H34O1	CC(/CC[C@@H]1([C@]2(CCCC(C)(C)[C@H](CCC1=C)2)C))=C\CO	(+)-copalol	CPD-14027	InChIKey=NERNKRPBSOBEHC-ATPOGHATSA-N
(+)-copalyl diphosphate	C20H33O7P2	CC(/CC[C@@H]1([C@]2(CCCC(C)(C)[C@H](CCC1=C)2)C))=C\COP([O-])(=O)OP([O-])([O-])=O	(+)-copalyl diphosphate // labdadienyl diphosphate	CPD-4750	InChIKey=JCAIWDXKLCEQEO-ATPOGHATSA-K
(+)-corvol ether A	C15H26O1	CC(C)[C@]12(O[C@]3(C)(CC[C@@H]([C@@H](C)CC1)[C@H]2C3))	(+)-corvol ether A // (1R*,4S*,4aR*,7R*,8aR*)-4,7-dimethyl-1-(propan-2-yl)decahydro-1,7-epoxynaphthalene	CPD-20136	InChIKey=WNZXPDXXLQCXHX-NJVJYBDUSA-N
(+)-corvol ether B	C15H26O1	CC([C@@H]1(O[C@]2(C)(CC[C@@H]3([C@@H](C)CC[C@@]1(C2)3))))C	(+)-corvol ether B // (1S*,3R*,5aR*,6S*,8aR*)-3,6-dimethyl-1-(propan-2-yl)hexahydro-1H,3H-3,8a-methanocyclopenta[c]oxepine	CPD-20083	InChIKey=SWPWNLQMJDQTRD-XPABHHOTSA-N
(+)-costunolide (12,6&alpha;)	C15H20O2	CC1(/CC[C@H]2(C(C(=O)O[C@H](/C=C(C)/CC/C=1)2)=C))	(+)-costunolide (12,6alpha)	CPD-9410	InChIKey=HRYLQFBHBWLLLL-AHNJNIBGSA-N
(+)-costunolide (12,6&beta;)	C15H20O2	CC1(/CC[C@H]2(C(C(=O)O[C@@H](/C=C(C)/CC/C=1)2)=C))	(+)-costunolide (12,6beta)	CPD-21664	InChIKey=HRYLQFBHBWLLLL-NNHLIDDTSA-N
(+)-cubenene	C15H24	CC(C)[C@H]1(CC[C@H](C)C2(\[C@@H]1\C=C(C)/C\C=2))	(+)-cubenene	CPD-12880	InChIKey=JUQGWBAOQUBVFP-GZBFAFLISA-N
