Object ID	SMILES
CPD-10291	C3([R3])(C(/[R2])=C([R1])/C(/C1(/OC2(/C(\[R10])=C([R9])\C(/[R8])=C([R7])/C(/C(=O)C(/[R6])=1)=2)))=C([R5])\C(/[R4])=3)
CPD-20084	C=C([C@@H]1(C[C@]2([C@@H](CC\C=C(CC1)/2)C)C))C
CPD-863	CC1(C)([C@H]2([C@H](O)C[C@@]1(C(=O)C2)C))
CPD-13402	CC(C)=CCC[C@]1(C)([C@@H]2(C[C@@H]1C(CC2)=C))
CPD-10358	C3(/C(/O)=C(C(/O)=C\C(\[C@H]1(OC2(\C(/C[C@H](O)1)=C(/C=C(/C=2)/O)\O)))=3)/O)
CPD-8790	CC(C)[C@H]2([C@@H]1([C@@H](CCC(/C)=C/1)C(CC2)=C))
CPD-8792	CC(C)[C@H]2([C@@H]1([C@H](CCC(/C)=C/1)C(CC2)=C))
CPD-8787	CC(C)[C@H]2([C@H]1([C@@H](CCC(/C)=C/1)C(CC2)=C))
CPD-12892	C=C(C)[C@@H]2(CC[C@@H](C)[C@@H]1(C(/C(C)CC1)=C/2))
CPD-8791	CC(C)[C@H]2([C@H]1([C@H](CCC(/C)=C/1)C(CC2)=C))
CPD-9006	C=C(C)[C@@H]1(CCC(\C)=C/CCC(\C)=C/C1)
CPD-9370	C[C@@H](C)C1(/C=C/C(CC/C=C(C)/CC1)=C)
CPD-15929	C=CC(C[C@@H](O)CC(C)C)=C
CPD-20075	C[C@H]2([C@]3(O)(CC(C)(C)C[C@H]1(C[C@](C)1[C@H](CC2)3)))
CPD-10029	O[R]
CPD-10040	C=C(C)[C@@H]1(CC[C@H](C)C(=O)C1)
CPD-14342	CC2(\CC[C@]13([C@H](C)CC[C@H](C(C)(C)[C@H]1\C=2)3))
CPD-4944	O[R]
CPD-4943	CC([C@H]1(CC[C@H](CC1=O)C))C
CPD-8699	C=C[C@]1(C)(CC2(\[C@H](CC1)[C@@]3(C)(CCCC(C)(C)[C@H](C\C=2)3)))
CPD-13869	C=C[C@]1(C)(\C=C2(CC[C@H]3(C(C)(C)CCC[C@](C)([C@@H](CC1)2)3)))
CPD-5943	CC\C=C/CC1(C(=O)CCC1CC([O-])=O)
CPD-20431	C=CC(O)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2))
CPD-20433	CC(/CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)))=C\CO
CPD-20430	CC(/CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2)))=C\COP([O-])(=O)OP([O-])(=O)[O-]
CPD-8907	COC3(\C(\O)=C/C=C(C[C@@H]2([C@H](CO)[C@@H](C1(\C=C/C(/O)=C(/C=1)/OC))OC2))\C=3)
CPD-14400	C[C@H]3([C@H](C1(\C=C/C(/O)=C\C=1))O[C@@H](C2(\C=C/C(/O)=C\C=2))[C@@H](C)3)
CPD-4462	C2(OC5(/C=C(\C=C/C(/[C@H]3(OC4(/C=C1(C(/OCO1)=C\C(\[C@@H]23)=4))))=5)/O))
CPD-8191	CC(O)(C)[C@H]1(OC2(\C(/C1)=C/C3(\C=C/C(OC(/C=2)=3)=O)))
CPD-20031	COC4(\C=C1(C(/[C@H]2(COC3(/C=C(\C=C/C(/[C@@H](O1)2)=3)/O)))=C/C=4))
CPD-4981	C[C@@H]1(CCC2(\C(/C)=C/OC(/C1)=2))
CPD-10102	CC([C@H]1(CC[C@@H](CC1=O)C))C
CPD-15124	C(=O)(C[C@H]1(\C=C/C(=O)O1))[O-]
CPD-16912	CC1(\C2(C(\C=C(\C=1)\OC)=C(C(/O)=C\C=2)/C(=O)O[C@@H]5(C=C4(C#C[C@@]7([C@H]3(COC(=O)O3))([C@@H](C#C/C=C4/[C@H]5O[C@H]6(O[C@H](C)[C@H](O)[C@H](O)[C@@H](NC)6))O7)))))
CPD-16520	CC1(\C2(/C=C\C(\O)=C(C(\C=C(\C=1)\OC)=2)\C(=O)O[C@@H]5(C=C4(C#C[C@@]6([C@H]3(COC(=O)O3))([C@@H](C#C/C=C4/[C@H]5O)O6)))))
CPD-10030	O[R]
CPD-10031	O[R]
CPD-4945	O[R]
CPD-1905	O[R]
CPD-21400	C=C(C)[C@H]1(C[C@@]2(C)([C@H](C)C[C@H](O)\C=C(CC1)/2))
CPD-18925	C=C(C)[C@H]1(C[C@@]2(C)([C@H](C)CC(=O)\C=C(CC1)/2))
CPD-9953	C[C@H]([NH3+])[C@@H](O)C1(\C=C/C=C\C=1)
CPD-20432	C=CC(OC)(C)CC[C@@]1(C)([C@H]2([C@](C)(CC[C@H](C)1)C(/C)=C/CC2))
CPD-14657	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4(/[C@](C)(C)CCCC(\[C@@H](O)3)=4))))
CPD-14658	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4(/[C@](C)(C)CCCC(\[C@@H](OC(C)=O)3)=4))))
CPD-6992	C3([R3])(C(/[R4])=C([R5])/C(/C1(OC2(/C(\[R9])=C([R8])\C(/[R7])=C([R6])/C(/C(=O)C(O)1)=2)))=C([R1])\C(/[R2])=3)
CPD-8905	COC1(/C=C(\C=C/C(/O)=1)/[C@H]3(OC[C@@H]4([C@@H](C2(\C=C/C(/O)=C(/C=2)/OC))OC[C@H]34)))
CPD-8921	COC1(\C(\O)=C/C=C(/C=1)/[C@@H]4([C@H]5(CO[C@H](C3(\C=C2(C(/OCO2)=C\C=3)))[C@@H](CO4)5)))
CPD-3944	COC5(\C=C1(C(/[C@H]2(OC3(\C([C@@](O)(CO1)2)=CC4(\OCOC(/C=3)=4))))=C/C=5))
CPD-4942	CC(C)=C1(CC[C@H](CC1=O)C)
CPD-14013	CC(C)[C@@]12([C@H](C1)C(CC2)=C)
-SABINONE	CC(C)[C@]12(CC(=O)C([C@@H](C1)2)=C)
CPD-8804	CC([C@H]1(CC[C@]3(C(C2(CCC(C12)3))=C)C))C
CPD-8910	COC2(\C(\O)=C/C=C(C[C@@H]([C@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO)CO)\C=2)
CPD-16684	COC4(/C=C(C[C@@H]([C@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO[C@@H]2([C@H]([C@@H]([C@@H](O)[C@@H](O2)CO)O)O))CO[C@@H]3([C@H]([C@@H]([C@@H](O)[C@@H](O3)CO)O)O))\C=C/C(/O)=4)
CPD-16683	COC3(/C=C(C[C@@H]([C@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO[C@@H]2([C@H]([C@@H]([C@@H](O)[C@@H](O2)CO)O)O))CO)\C=C/C(/O)=3)
CPD-8922	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@@H]5([C@H]6(CO[C@H](C4(\C=C3(C(/OCO3)=C\C=4)))[C@@H](CO5)6))))
CPD-14837	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C5(\C(\O)=C/C6(/OCOC(/C=5)=6))))))
CPD-14839	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C7(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO[C@H]6([C@@H]([C@H]([C@H](O)[C@H](O6)CO)O)O))O)O))=C/C8(/OCOC(/C=7)=8))))))
CPD-14841	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C8(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO[C@H]6([C@@H]([C@H]([C@H](O)[C@H](O6)CO[C@H]7([C@@H]([C@H]([C@H](O)[C@H](O7)CO)O)O))O)O))O)O))=C/C9(/OCOC(/C=8)=9))))))
CPD-14838	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C6(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO)O)O))=C/C7(/OCOC(/C=6)=7))))))
CPD-14840	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@H]3(OC[C@H]4([C@H](OC[C@H]34)C8(\C(\O[C@H]5([C@@H]([C@H]([C@H](O)[C@H](O5)CO[C@H]6([C@@H]([C@H]([C@H](O)[C@H](O6)CO)O)O))O)O[C@H]7([C@@H]([C@H]([C@H](O)[C@H](O7)CO)O)O)))=C/C9(/OCOC(/C=8)=9))))))
CPD-8928	C6(/C=C1(C(/OCO1)=C\C(\[C@H]2(OC[C@@H]3([C@H](OC[C@H]23)OC4(\C=C/C5(/OCOC(/C=4)=5)))))=6))
CPD-8927	COC1(/C=C(\C=C/C(/O)=1)/O[C@H]2(OC[C@@H]3([C@H](OC[C@H]23)C5(\C=C4(C(/OCO4)=C\C=5)))))
CPD-14655	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4(\[C@](C)(C)CC[C@H](O)C(\C3)=4))))
CPD-14656	CC1(\C(=O)O[C@H](\C=1)O/C=C2([C@@H]3([C@H](OC(=O)2)C4(\[C@](C)(C)CC[C@H](OC(C)=O)C(\C3)=4))))
CPD-20971	COC1(/C=C(/C=C(C(\O)=1)/OC)/C4(C3(C(C(C2(\C=C(C(\O)=C(/C=2)\OC)\OC))OC3)CO4)))
CPD-13867	CC([C@H]2(CC[C@](O)(C)[C@H]1([C@H](\C=C(C)/CC1)2)))C
CPD-474	C3(/C=C(C(/O)=C\C(\[C@H]1(OC2(/C=C(/C=C(C(\C(=O)[C@H](O)1)=2)/O)/[O-])))=3)/O)
CPD-13995	O[R]
CPD-13996	C([R1])C(C[R2])=O
CPD-8236	CC2(\[C@@H]3([C@@]1(C(CCC[C@@]1(C\C=2)C)(C)C)C3))
CPD-22364	C[C@H]1(CC[C@H]2([C@H]1C(=O)O\C=C(C)/2))
CPD-22365	C[C@H]1(CC[C@@H]2([C@@H]1C(=O)O\C=C(C)/2))
CPD-14385	CC(/C=C/[C@@]1(C(C)(C)CC(=O)\C=C(C)/1)O)=C\C=O
CPD-260	O[R]
CPD-9307	C([R])(=O)[O-]
CPD-8833	O[R]
CPD-7989	C=C([C@H]1(C[C@]2([C@@H](CC\C=C(CC1)/2)C)C))C
CPD-14396	C([R])([O-])=O
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-1234-TET	CC(C)(C)[NH2+]CC(O)COC1(\C2(/CCCC(O)C(\C=C/C=1)=2))
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-34-DIHYD	CC(C)(C)[NH2+]CC(O)COC1(\C2(/CCCC(=O)C(\C=C/C=1)=2))
--TRANS-ACENAPHTHENE-12-DIOL	C2(\C=C1(\C=C/C=C3(C1=C(\C=2)[C@@H]([C@H]3O)O)))
CPD-10142	C=C(C1(CCC2(C(C1)O2)(C)))C
CPD-10141	C=C(C1(CCC2(C(C1)O2)(C)))C
CPD-14089	O(P(=O)([O-])OP(=O)([O-])[O-])[a monoterpenol]
CPD-4887	O[R]
CPD-11869	COC2(\C(\O[C@H](CO)[C@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)
CPD-11867	COC2(\C(\O[C@H](CO)[C@@H](O)C1(\C=C(C(/O)=C\C=1)\OC))=C/C=C\C=2)
CPD-8771	CC2(\CC[C@@H]1(C(C)(C)[C@@H]1\C=2))
CPD-21288	C3(C(/[R2])=C([R1])/C(/[C@@H]1(OC2(\C(/[R9])=C([R8])/C(\[R7])=C([R6])\C(/C[C@H]1O)=2)))=C([R5])\C(/[R4])=3)[R3]
CPD-8765	CC2(\C[C@H]1(C(C)(C)[C@H]1C\C=2))
CPD-18756	COC1(/C=C(/C=C(C(\O)=1)/OC)[C@H]2([C@H]5(C(=O)OC[C@H](CC3(\C\2=C/C4(/OCOC(/C=3)=4)))5)))
CPD-18757	COC1(/C=C(/C=C(C(\O)=1)/OC)[C@H]2([C@H]5(C(=O)OC[C@H]([C@H](O)C3(\C\2=C/C4(/OCOC(/C=3)=4)))5)))
CPD-18301	CN3(C(=O)C4(\C(\NC(=O)C2(OC(C1(\C=C/C(/OC)=C\C=1))2)3)=C/C=C\C=4))
CPD-13271	C=C([C@H]1(C[C@@]2([C@@H](CC\C=C(CC1)/2)C)C))C
CPD-18755	COC4(\C(\OC)=C(\C=C(C[C@@H]3([C@@H](CC1(\C=C/C2(/OCOC(/C=1)=2)))COC3=O))/C=4)\O)
CPD-21656	C=C([C@H]1(C[C@]2([C@H](CC\C=C(CC1)/2)C)C))C
--5-oxo-1-2-campholide	CC1(C)(C2(C)(OC(=O)CC1C(=O)C2))
CPD-5941	CC\C=C/CC1(C(=O)CCC1CC([O-])=O)
CPD-19446	COC4(/C=C1(C(/CN3(CC[C@]21(\C=C/[C@H](C[C@@H]23)O)))=C\C(\O)=4))
CPD-13922	C=C[C@@]2(CC[C@H]3([C@]1(CCC[C@]([C@@H]1C\C=C(C2)/3)(C)C=O)C))C
CPD-13923	C=C[C@@]2(CC[C@H]3([C@]1(CCC[C@]([C@@H]1C\C=C(C2)/3)(C)C([O-])=O)C))C
CPD-13921	C=C[C@@]2(CC[C@H]3([C@]1(CCC[C@]([C@@H]1C\C=C(C2)/3)(C)CO)C))C
CPD-4754	C=C[C@@]2(CC[C@H]3([C@]1(CCCC(C)(C)[C@@H]1C\C=C(C2)/3)C))C
CPD-19096	C3(C(/[R2])=C([R1])/C(/[C@@H]1(OC2(\C(/[R9])=C([R8])/C(\[R7])=C([R6])\C(/C[C@H]1O)=2)))=C([R5])\C(/[R4])=3)[R3]
CPD-8797	CC(C)[C@H]2([C@@H]1([C@@H](CCC(/C)=C/1)C(/C)=C/C2))
CPD-20168	CC1(\[C@H]3(C[C@](C)(C\C=1)[C@@]2(C)([C@](C)(CCC2)3)))
CPD-10759	CC(C)=CCC[C@](C)(O)[C@H]1(CCC(/C)=C/C1)
CPD-8776	CC3(\[C@@H]2(C[C@@]1([C@@H](CC[C@@H](C)1)C(C)(C)2)C\C=3))
CPD-8243	CC2(\CCC(/[C@]1(C)(C(C)(C)CCC1))=C\C=2)
CPD-14200	CC(C)=CCCC(C)C1(\C=C/C(\C)=C\C=1)
CPD-12891	C[C@@H]3(CC[C@H]1(C(C)(C)[C@H]1C2([C@H](CCC(C)=2)3)))
CPD-14797	C[C@H]1(C23([C@@](C)(CC1)C(/C)=C/[C@](C)(CCC2)3))
CPD-18811	CC(C)C1(C\C=C(C)/C=C\1)
CPD-4892	CC1(\[C@@H]2(C[C@H](C\C=1)C2(C)C))
CPD-20223	CC(C)[C@@]12([C@H](C1)C(/C)=C/C2)
CPD-18510	CC(C)=C1([C@H]2(\C=C(C)/CC[C@@H]([C@H](CC1)C)2))
CPD-21877	C[C@H]2([C@@H]3(CC[C@]4(O[C@@H](C1(OC(=O)C([C@@H]1CC2)=C)3)4)(C)))
CPD-19803	C1(OC2(\C(\O1)=C/C=C(/C=2)/[C@@H]5([C@@H]6(CO[C@@H](C4(\C=C3(C(/OCO3)=C\C=4)))[C@H](CO5)6))))
CPD-20169	C=C1(CC[C@@]3(C)(C[C@H]1[C@]2(C)([C@@](C)(CCC2)3)))
CPD-8230	CC1(/CC[C@H]2(C(C[C@H](C(CC/C=1)=C)2)(C)C))
CPD-8803	CC(C)[C@@H]1(CC[C@@H](C)[C@]23(C([C@@H]12)C(CC3)=C))
