Compound	Object ID	InChI-Key	SMILES
S-NITROSOGLUTATHIONE	S-NITROSOGLUTATHIONE	InChIKey=HYHSBSXUHZOYLX-WDSKDSINSA-M	C(SN=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
PRODUCTS-OF-ATP-BREAKDOWN	PRODUCTS-OF-ATP-BREAKDOWN		
CPD-21199	CPD-21199	InChIKey=NJNGQWPDGNWCCL-FAGLKTCQSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-17439	CPD-17439	InChIKey=JQWABENXVMJJMW-NPPUSCPJSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-21163	CPD-21163	InChIKey=QWWOQYNQIWYAGB-OALUTQOASA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-5721	CPD-5721	InChIKey=WYWHKKSPHMUBEB-UHFFFAOYSA-N	C1(\NC2(C(/S)=N\C=N/C(\N=1)=2))
CPD-12387	CPD-12387	InChIKey=RAKAOQJZHXOSHL-FZRQNGHYSA-M	C1(\NC2(/C=C\C=C/C(/C(\CC(/SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)=N\O)=1)=2))
CPD-5722	CPD-5722	InChIKey=LQJZZLRZEPKRRQ-UHFFFAOYSA-N	C1(\NC2(C(/S)=N\C=N/C(\N=1)=2))
UV-Light	UV-Light		
CPDQT-434	CPDQT-434	InChIKey=WJEGHYZNKDEWFC-ZFWWWQNUSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15916	CPD-15916	InChIKey=GLVAUDGFNGKCSF-UHFFFAOYSA-N	C1(\NC2(C(/S)=N\C=N/C(\N=1)=2))
CPD-21160	CPD-21160	InChIKey=KPJNKLWIESQKCG-STQMWFEESA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-20732	CPD-20732	InChIKey=LMEKQMALGUDUQG-UHFFFAOYSA-N	C1(\NC2(C(/S)=N\C=N/C(\N=1)=2))
CPD-921	CPD-921	InChIKey=BNRXZEPOHPEEAS-FXQIFTODSA-M	C(SSC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)[C@@H](C([O-])=O)[NH3+]
CPD-19975	CPD-19975	InChIKey=DMAPAHUEYHXRFI-WDSKDSINSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15815	CPD-15815		[O]
CPD-21344	CPD-21344	InChIKey=IWZOUBIWPYHNIH-UWVGGRQHSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15179	CPD-15179	InChIKey=IQBGVZDRJBTLDN-BDAKNGLRSA-M	CC(C)[C@@H](O)CC[C@@H](C)CC([O-])=O
CPD-19031	CPD-19031	InChIKey=KTSZDHMDBQVCIB-WUAMPTBBSA-M	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(C=O)C
CPD-21210	CPD-21210	InChIKey=TUKINTUYICBBAJ-RFHHWMCGSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-10065	CPD-10065	InChIKey=NQYDFAGFKCSWGI-BDAKNGLRSA-M	C=C(C)[C@@H](CC[C@H](O)C)CC([O-])=O
CPD-17444	CPD-17444	InChIKey=HYWLPDOKCGRIQZ-IUCAKERBSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
Heat	Heat		
CPD-21192	CPD-21192	InChIKey=ORMLEFSJTSCINS-STQMWFEESA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-10047	CPD-10047	InChIKey=NQYDFAGFKCSWGI-RKDXNWHRSA-M	C=C(C)[C@H](CC[C@H](O)C)CC([O-])=O
CPDQT-435	CPDQT-435	InChIKey=KVMRPJKNKZURJK-JSGCOSHPSA-M	COC2(\C=C/C=C1(C(\C(\CNC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)=S)=C/N1)=2))
CPD-21161	CPD-21161	InChIKey=XYJWEQWNNKNSFU-STQMWFEESA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD0-2370	CPD0-2370	InChIKey=WBINJBFJLWYSJZ-BQBZGAKWSA-L	C(SCC([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-19976	CPD-19976	InChIKey=BWVLZQPOYZAICL-MCKUKDPPSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-23231	CPD-23231	InChIKey=JNHSMKPVSPHKIJ-BQBZGAKWSA-M	C(NC(=O)[C@H](CSSC)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
CPD-19032	CPD-19032	InChIKey=GPWMCZLMCJWORL-KZGJKODISA-L	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(C([O-])=O)C
CPD-21212	CPD-21212	InChIKey=QSJWCVDVLJSMFK-NCYRLESRSA-L	C(SC(Cl)C([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD0-1308	CPD0-1308	InChIKey=XDDAORKBJWWYJS-UHFFFAOYSA-L	C(NCC(=O)[O-])P(O)([O-])=O
CPD-16811	CPD-16811	InChIKey=IXHTVNGQTIZAFS-BYPYZUCNSA-P	C(NC(N)=[NH2+])CC[C@H]([NH3+])C(NO)=O
CPD-17866	CPD-17866	InChIKey=QUBUTNSZZFICHL-WDSKDSINSA-L	C(SS([O-])=O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-9700	CPD-9700	InChIKey=UYDZYCPIQSRXKU-NPPUSCPJSA-M	C=C1(C(C[C@@H](C(=O)[O-])NC(CC[C@H]([NH3+])C([O-])=O)=O)C1)
S-HYDROXYMETHYLGLUTATHIONE	S-HYDROXYMETHYLGLUTATHIONE	InChIKey=PIUSLWSYOYFRFR-BQBZGAKWSA-M	C(NC(=O)[C@H](CSCO)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
CPD-21194	CPD-21194	InChIKey=GHPLIWIVVQUFQJ-USPAICOZSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-11770	CPD-11770	InChIKey=YQIFAMYNGGOTFB-NJGYIYPDSA-N	C1(NC2(/N=C(N)\NC(=O)C(/N=C1/[C@H](O)[C@@H](O)CO)=2))
CPD-14704	CPD-14704	InChIKey=NOKRNJLENDLSKM-HESLUPGFSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-23010	CPD-23010	InChIKey=UAUDZVJPLUQNMU-KTKRTIGZSA-N	C(=O)([R])N
GLUTATHIONE-SULFITE	GLUTATHIONE-SULFITE	InChIKey=WVRBCFLALSFRAF-WDSKDSINSA-L	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD6666-1	CPD6666-1	InChIKey=FATBGEAMYMYZAF-KTKRTIGZSA-N	C(N)(=O)[R]
DIHYDRO-NEO-PTERIN	DIHYDRO-NEO-PTERIN	InChIKey=YQIFAMYNGGOTFB-XINAWCOVSA-N	C([R])C(O)C(O)C1(\CNC2(/N=C(N)\NC(C(/N=1)=2)=O))
CPD-22219	CPD-22219	InChIKey=MVVPIAAVGAWJNQ-DOFZRALJSA-N	C(N)(=O)[R]
CPD-21162	CPD-21162	InChIKey=OAWORKDPTSAMBZ-STQMWFEESA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-22243	CPD-22243	InChIKey=HPFXACZRFJDURI-KTKRTIGZSA-M	C(N)(=O)[R]
CPD-12384	CPD-12384	InChIKey=DMZSTCRTOPLDAY-XUJJJAFJSA-M	C(SC(/CC1(\C=C/C=C\C=1))=N/O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-15308	CPD-15308	InChIKey=BMQYVXCPAOLZOK-NJGYIYPDSA-N	C1(\C(\[C@H](O)[C@@H](O)CO)=N/C2(C(=O)NC(/N)=N/C(\N=1)=2))
CPD-9001	CPD-9001	InChIKey=UELBXEKQONEDKM-IRXDYDNUSA-K	C([R])([O-])=O
CPDQT-425	CPDQT-425	InChIKey=LLXMBNSNAAVMLO-ZFWWWQNUSA-M	C(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)C1(\C2(/C=C\C=C/C(/N/C=1)=2))
DIHYDROSTERCULIC-ACID	DIHYDROSTERCULIC-ACID	InChIKey=PDXZQLDUVAKMBQ-UHFFFAOYSA-M	C([R])([O-])=O
CPD-19611	CPD-19611	InChIKey=MRWIAFJLUOHGPO-IWQZZHSRSA-N	C([R])([O-])=O
CPD-20051	CPD-20051	InChIKey=ASVZVVIRLJACCB-XUJJJAFJSA-M	C(SC(/CC1(\C=C/C(/O)=C\C=1))=N/O)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
STERCULATE	STERCULATE	InChIKey=PQRKPYLNZGDCFH-UHFFFAOYSA-M	C([R])([O-])=O
CPD-22632	CPD-22632	InChIKey=BMQYVXCPAOLZOK-INEUFUBQSA-N	C1(\C(\[C@@H](O)[C@H](O)CO)=N/C2(C(=O)NC(/N)=N/C(\N=1)=2))
CPD-22674	CPD-22674	InChIKey=MUZYOAHCGSIXJH-UHFFFAOYSA-M	C([R])([O-])=O
CPD-548	CPD-548	InChIKey=FHXAGOICBFGEBF-BQBZGAKWSA-M	C(NC(=O)[C@H](CSC=O)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
CPD-19217	CPD-19217	InChIKey=ZOIIDZWLSVVTGQ-WDSKDSINSA-M	C(SNO)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-19622	CPD-19622	InChIKey=OAOABCKPVCUNKO-UHFFFAOYSA-M	C([R])([O-])=O
CPD-15305	CPD-15305	InChIKey=BMQYVXCPAOLZOK-XINAWCOVSA-N	C1(\C(\[C@H](O)[C@@H](CO)O)=N/C2(C(=O)NC(/N)=N/C(\N=1)=2))
CPD-21241	CPD-21241	InChIKey=HNVRPZRIBUVDIB-RAMGSTBQSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-19029	CPD-19029	InChIKey=LOAQFXHGDMJPJC-WUAMPTBBSA-M	C=CC(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)(CO)C
CPD-19597	CPD-19597	InChIKey=QERYCTSHXKAMIS-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-15639	CPD-15639	InChIKey=DZOGQXKQLXAPND-ALERELDYSA-K	CC(N[C@H]3([C@@H](OP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O))(=O)[O-])(=O)[O-])O[C@@H]([C@@H]([C@@H]3O)O)C([O-])=O))=O
CPD-19875	CPD-19875	InChIKey=IUGYQRQAERSCNH-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-15866	CPD-15866	InChIKey=OVBFMEVBMNZIBR-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-21453	CPD-21453	InChIKey=IUBMRJVNZLQSHU-YBDOKYOQSA-M	C([R])(=O)[O-]
CPD-18285	CPD-18285	InChIKey=AVZATKWNGXCSDN-ACGPJVOLSA-L	C([R])(=O)[O-]
CPD-12132	CPD-12132	InChIKey=UPSMRUXNZUWKMB-VKHMYHEASA-N	C([R])(=O)[O-]
CPD-21687	CPD-21687	InChIKey=HAKPEUOAOGGSPC-UHFFFAOYSA-M	C(N)(=O)NC(=O)NC(=O)[O-]
CPD-19605	CPD-19605	InChIKey=FVEMXQCEJGGXJB-CQSZACIVSA-O	COC3(\C(\O)=C/C(\C[C@H]1([NH2+]CCC2(/C=C(C(/O)=C\C/1=2)/OC)))=C\C=3)
CPD-15989	CPD-15989	InChIKey=RFSUNEUAIZKAJO-FSIIMWSLSA-N	C(O)[C@@H]1(O[C@@](O)(CO)[C@H]([C@@H]1O)O)
CPD-19871	CPD-19871	InChIKey=RIERBYNHXFKVQP-LNVKXUELSA-N	CCCCCCCCCC\C=C/CCCCCCCCCCC
CPD-14238	CPD-14238	InChIKey=QBQCAYTWEQRERN-VHUCEKMMSA-N	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC\C=C/C\C=C/C\C=C/C\C=C/CC
CPD-2462	CPD-2462	InChIKey=WWYDYZMNFQIYPT-UHFFFAOYSA-L	C(=O)([O-])C(C([O-])=O)C1(\C=C/C=C\C=1)
CPD-15988	CPD-15988	InChIKey=RFSUNEUAIZKAJO-BGPJRJDNSA-N	C(O)[C@@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)
CPD-7672	CPD-7672	InChIKey=CAOMCZAIALVUPA-UHFFFAOYSA-M	S[R]
CPD-19872	CPD-19872	InChIKey=UTPZTNSPDTWUBY-ZPHPHTNESA-N	CCCCCCCC\C=C/CCCCCCCCC
CPD-7618	CPD-7618	InChIKey=ZHYZQXUYZJNEHD-VQHVLOKHSA-M	CC(C)=CCCC(\C)=C/C(=O)[O-]
CPD-8717	CPD-8717	InChIKey=MLBYBBUZURKHAW-MISYRCLQSA-M	CC(C2(\CCC3(/[C@@]1([C@H]([C@@](C)(CCC1)C(=O)[O-])CCC(/C=2)=3)C)))C
CPD-19045	CPD-19045	InChIKey=IAQRGUVFOMOMEM-ARJAWSKDSA-N	C(\[R2])=C\[R1]
CPD-8694	CPD-8694	InChIKey=RSWGJHLUYNHPMX-ONCXSQPRSA-M	CC(C)C1(\CC[C@H]2(C(/C=1)=C/C[C@@H]3([C@@](C)2CCC[C@](C([O-])=O)(C)3)))
CPD-19249	CPD-19249	InChIKey=ZHYZQXUYZJNEHD-CLFYSBASSA-M	CC(C)=CCCC(/C)=C/C(=O)[O-]
CPD-16698	CPD-16698	InChIKey=OIAYIBAMKXMHFW-UHFFFAOYSA-M	CNC(=O)N(C1(\C(O)(C(=O)[O-])N(C)C(=O)/N=1))C
CPD-19873	CPD-19873	InChIKey=ZXFYKYSBFXNVIG-SQFISAMPSA-N	CCCCCC\C=C/CCCCCCC
CPD-8725	CPD-8725	InChIKey=NFWKVWVWBFBAOV-MISYRCLQSA-M	CC(C)C1(\C=C/C2(/[C@]3(C)([C@@H](CCC(/C=1)=2)[C@@](C(=O)[O-])(C)CCC3)))
CPD-8708	CPD-8708	InChIKey=RWWVEQKPFPXLGL-RMGPQRKISA-M	CC(C2(\C=C1(CCC3([C@@]([C@H]1CC=2)(CCC[C@]3(C(=O)[O-])C)C))))C
CPD-13927	CPD-13927	InChIKey=GHIKATUDZMBUJC-IHWYPQMZSA-N	CC(\C(=O)OO)=C\NC(N)=O
CPD-19852	CPD-19852	InChIKey=CXWCGEWKUWAPOE-RFBIWTDZSA-N	CCCCCCCCCCCC\C=C/CCCCCCCCCCCCC
CPD-15987	CPD-15987	InChIKey=LKDRXBCSQODPBY-FSIIMWSLSA-N	C(O)C1(O)([C@@H](O)[C@H](O)[C@@H](O)CO1)
CPD-8729	CPD-8729	InChIKey=MXYATHGRPJZBNA-AEOXZHQRSA-M	C=C[C@]1(C)(CC2(\[C@H](CC1)[C@@]3(C)(CCC[C@](C([O-])=O)(C)C(C\C=2)3)))
CPD0-2338	CPD0-2338	InChIKey=AJFKXWQDHFYKFK-UPHRSURJSA-N	C(\NC(N)=O)=C\C(=O)OO
PRENAL	PRENAL	InChIKey=SEPQTYODOKLVSB-UHFFFAOYSA-N	CC(C)=CC=O
CPD-8712	CPD-8712	InChIKey=KGMSWPSAVZAMKR-RMGPQRKISA-M	CC(C)=C3(CC[C@@H]2([C@@]1(C([C@@](CCC1)(C(=O)[O-])C)CCC/2=C\3)C))
3-UREIDO-PROPIONATE	3-UREIDO-PROPIONATE	InChIKey=JSJWCHRYRHKBBW-UHFFFAOYSA-M	C(NC(=O)N)CC([O-])=O
CPD-8479	CPD-8479	InChIKey=ASDLSKCKYGVMAI-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-20124	CPD-20124	InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-N	O=P(O)(O)O
CPD-8524	CPD-8524	InChIKey=GIOUOHDKHHZWIQ-SSDOTTSWSA-M	C([R])(=O)[O-]
CPD-12759	CPD-12759	InChIKey=BKRLNEMLMVJATK-CYBMUJFWSA-N	CC1(\CC[C@@H](C\C=1)C2(\CC(C)(C)CC/C=2))
CPD-15028	CPD-15028	InChIKey=GRYLNZFGIOXLOG-UHFFFAOYSA-N	[N+](=O)([O-])O
CPD-15986	CPD-15986	InChIKey=LKDRXBCSQODPBY-BGPJRJDNSA-N	C(O)C1(O)([C@@H](O)[C@H](O)[C@@H](O)CO1)
CPD-389	CPD-389	InChIKey=UWBHMRBRLOJJAA-UHFFFAOYSA-M	C([O-])(=O)C(=O)NC(=O)N
